category,section,order,node_id,screen_name,relative_path
Reconstruction,Home,3,51:2,Home / 03 · Resting,Reconstruction/Home/03 - Home - 03 - Resting.png
Reconstruction,Home,1,52:2,Home / 01 · Intro,Reconstruction/Home/01 - Home - 01 - Intro.png
Reconstruction,Home,2,52:91,Home / 02 · Intro-outro,Reconstruction/Home/02 - Home - 02 - Intro-outro.png
Reconstruction,Study,1,47:2,Study / 01 · Draft,Reconstruction/Study/01 - Study - 01 - Draft.png
Reconstruction,Study,2,55:19,Study / 02 · Result Pass,Reconstruction/Study/02 - Study - 02 - Result Pass.png
Reconstruction,Study,3,55:326,Study / 03 · Result Fail,Reconstruction/Study/03 - Study - 03 - Result Fail.png
Reconstruction,Study,4,56:2,Study / 04 · Discuss Panel,Reconstruction/Study/04 - Study - 04 - Discuss Panel.png
Reconstruction,Segmentation,1,53:2,Segmentation / 01 · Paste,Reconstruction/Segmentation/01 - Segmentation - 01 - Paste.png
Reconstruction,Segmentation,2,65:2,Segmentation / 02 · Loading,Reconstruction/Segmentation/02 - Segmentation - 02 - Loading.png
Reconstruction,Segmentation,3,65:74,Segmentation / 03 · Transition,Reconstruction/Segmentation/03 - Segmentation - 03 - Transition.png
Reconstruction,Segmentation,4,58:2,Segmentation / 04 · Success,Reconstruction/Segmentation/04 - Segmentation - 04 - Success.png
Reconstruction,Segmentation,5,60:2,Segmentation / 05 · Review,Reconstruction/Segmentation/05 - Segmentation - 05 - Review.png
Reconstruction,Research,1,37:2,Project Research,Reconstruction/Research/01 - Project Research.png
Reconstruction,Parked,1,41:2,Parked · Exams (vision),Reconstruction/Parked/01 - Parked - Exams vision.png
Reconstruction,Parked,2,42:2,Parked · Projects (vision),Reconstruction/Parked/02 - Parked - Projects vision.png
Polished,Home,1,154:2,Home / 01 · Resting,Polished/Home/01 - Home - 01 - Resting.png
Polished,Study,1,160:2,Study / 01 · Draft,Polished/Study/01 - Study - 01 - Draft.png
Polished,Study,2,176:241,Study / 02 · Submitted · Pass,Polished/Study/02 - Study - 02 - Submitted - Pass.png
Polished,Segmentation,1,168:2,Segmentation / 01 · Paste,Polished/Segmentation/01 - Segmentation - 01 - Paste.png
Polished,Segmentation,2,170:38,Segmentation / 02 · Review,Polished/Segmentation/02 - Segmentation - 02 - Review.png
Polished,Research,1,172:2,Research / 01 · Segment selected,Polished/Research/01 - Research - 01 - Segment selected.png
Polished,Exams,1,174:2,Exams / 01 · Library,Polished/Exams/01 - Exams - 01 - Library.png
R2,Home & Projects,1,213:574,Home / 01 · Resting,R2/Home & Projects/01 - Home - 01 - Resting.png
R2,Home & Projects,2,238:237,Home / 02 · Empty · No source,R2/Home & Projects/02 - Home - 02 - Empty - No source.png
R2,Home & Projects,3,238:3651,Projects / 01 · Library,R2/Home & Projects/03 - Projects - 01 - Library.png
R2,Study,1,213:1774,Study / 01 · Draft,R2/Study/01 - Study - 01 - Draft.png
R2,Study,2,213:1881,Study / 02 · Submitted · Pass,R2/Study/02 - Study - 02 - Submitted - Pass.png
R2,Study,3,222:464,Study / 03 · Focus,R2/Study/03 - Study - 03 - Focus.png
R2,Study,4,224:573,Study / 04 · Repair,R2/Study/04 - Study - 04 - Repair.png
R2,Study,5,225:776,Study / 05 · Companion · Docked,R2/Study/05 - Study - 05 - Companion - Docked.png
R2,Study,6,244:4268,Study / 06 · Repair + Companion,R2/Study/06 - Study - 06 - Repair plus Companion.png
R2,Study,7,244:4504,Study / 07 · Pass + Companion,R2/Study/07 - Study - 07 - Pass plus Companion.png
R2,Segmentation,1,213:2401,Segmentation / 01 · Paste,R2/Segmentation/01 - Segmentation - 01 - Paste.png
R2,Segmentation,2,227:121,Segmentation / 02 · Options open,R2/Segmentation/02 - Segmentation - 02 - Options open.png
R2,Segmentation,3,228:162,Segmentation / 03 · Processing,R2/Segmentation/03 - Segmentation - 03 - Processing.png
R2,Segmentation,4,244:471,Segmentation / 03M · Manual setup,R2/Segmentation/04 - Segmentation - 03M - Manual setup.png
R2,Segmentation,5,213:2449,Segmentation / 04 · Review,R2/Segmentation/05 - Segmentation - 04 - Review.png
R2,Segmentation,6,230:190,Segmentation / 05 · Review · Selected,R2/Segmentation/06 - Segmentation - 05 - Review - Selected.png
R2,Segmentation,7,232:255,Segmentation / 06 · Publish success,R2/Segmentation/07 - Segmentation - 06 - Publish success.png
R2,Research,1,243:284,Research / 01 · Browse,R2/Research/01 - Research - 01 - Browse.png
R2,Research,2,213:2648,Research / 02 · Segment selected,R2/Research/02 - Research - 02 - Segment selected.png
R2,Exams,1,213:2980,Exams / 01 · Library,R2/Exams/01 - Exams - 01 - Library.png
R2,Exams,2,234:115,Exams / 02 · Build & Preview,R2/Exams/02 - Exams - 02 - Build and Preview.png
R2,Exams,3,235:184,Exams / 03 · Attempt,R2/Exams/03 - Exams - 03 - Attempt.png
R2,Exams,4,237:276,Exams / 04 · Results & Remediation,R2/Exams/04 - Exams - 04 - Results and Remediation.png
R3,Home & Projects,1,259:2533,Home / 01 · Returning,R3/Home & Projects/01 - Home - 01 - Returning.png
R3,Home & Projects,2,259:2559,Home / 02 · Empty · No source,R3/Home & Projects/02 - Home - 02 - Empty - No source.png
R3,Home & Projects,3,259:2585,Projects / 01 · Library,R3/Home & Projects/03 - Projects - 01 - Library.png
R3,Study,1,259:7953,Study / 01 · Draft · V2 default,R3/Study/01 - Study - 01 - Draft - V2 default.png
R3,Study,2,259:8060,Study / 02 · Submitted · Pass · Live review flow,R3/Study/02 - Study - 02 - Submitted - Pass - Live review flow.png
R3,Study,3,259:8176,Study / 03 · Focus,R3/Study/03 - Study - 03 - Focus.png
R3,Study,4,259:8283,Study / 04 · Repair · V2,R3/Study/04 - Study - 04 - Repair - V2.png
R3,Study,5,259:8406,Study / 05 · Support collapsed,R3/Study/05 - Study - 05 - Support collapsed.png
R3,Study,6,259:8514,Study / 06 · Support floating,R3/Study/06 - Study - 06 - Support floating.png
R3,Study,7,259:8638,Study / 07 · Support fullscreen,R3/Study/07 - Study - 07 - Support fullscreen.png
R3,Study,8,260:1364,Study / 08 · Draft · Support expanded,R3/Study/08 - Study - 08 - Draft - Support expanded.png
R3,Study,9,260:1487,Study / 09 · Draft · Support hover preview,R3/Study/09 - Study - 09 - Draft - Support hover preview.png
R3,Study,10,269:1649,Study / 10 · Repair + Companion · R3,R3/Study/10 - Study - 10 - Repair plus Companion - R3.png
R3,Study,11,269:1985,Study / 11 · Pass + Companion · R3,R3/Study/11 - Study - 11 - Pass plus Companion - R3.png
R3,Study,12,270:10919,Study / 12 · Draft + Companion · R3,R3/Study/12 - Study - 12 - Draft plus Companion - R3.png
R3,Study,13,272:1661,Study / 13 · Global nav hover,R3/Study/13 - Study - 13 - Global nav hover.png
R3,Segmentation,1,259:10050,Segmentation / 01 · Paste,R3/Segmentation/01 - Segmentation - 01 - Paste.png
R3,Segmentation,2,259:10191,Segmentation / 02 · Options open,R3/Segmentation/02 - Segmentation - 02 - Options open.png
R3,Segmentation,3,270:376,Segmentation / 02Q · Options · Quick publish,R3/Segmentation/03 - Segmentation - 02Q - Options - Quick publish.png
R3,Segmentation,4,259:10258,Segmentation / 03 · Processing,R3/Segmentation/04 - Segmentation - 03 - Processing.png
R3,Segmentation,5,322:423,Segmentation / 03B · Segmenting transition,R3/Segmentation/05 - Segmentation - 03B - Segmenting transition.png
R3,Segmentation,6,259:10467,Segmentation / 03M · Manual setup,R3/Segmentation/06 - Segmentation - 03M - Manual setup.png
R3,Segmentation,7,270:11237,Segmentation / 03Q · Processing · Quick publish,R3/Segmentation/07 - Segmentation - 03Q - Processing - Quick publish.png
R3,Segmentation,8,259:10098,Segmentation / 04 · Review · V2 editor,R3/Segmentation/08 - Segmentation - 04 - Review - V2 editor.png
R3,Segmentation,9,259:10306,Segmentation / 05 · Review · Active edit,R3/Segmentation/09 - Segmentation - 05 - Review - Active edit.png
R3,Segmentation,10,259:10399,Segmentation / 06 · Publish success,R3/Segmentation/10 - Segmentation - 06 - Publish success.png
R3,Research,1,259:10997,Research / 01 · Browse,R3/Research/01 - Research - 01 - Browse.png
